====================================================================================================
REASONING BY CONFIDENCE BIN — per (model, dataset) × disjoint 10% bins within top-50% pool
Rows: 270  |  Columns: ['model', 'dataset', 'bin_label', 'bin_start_pct', 'bin_end_pct', 'total_traces_in_bin', 'sampled_traces', 'random_seed', 'mean_reasoning_score', 'std_reasoning_score', 'stderr_reasoning_score', 'ci_lower', 'ci_upper', 'bootstrap_ci_lower', 'bootstrap_ci_upper', 'mean_accuracy_population']
====================================================================================================
       model       dataset bin_label  bin_start_pct  bin_end_pct  total_traces_in_bin  sampled_traces  random_seed  mean_reasoning_score  std_reasoning_score  stderr_reasoning_score  ci_lower  ci_upper  bootstrap_ci_lower  bootstrap_ci_upper  mean_accuracy_population
       Phi-4         SVAMP      0-10              0           10                 1600              50    209691600                 0.755             0.302213               0.0427394  0.669112  0.840888            0.668719              0.8375                  0.473125
       Phi-4         SVAMP     10-20             10           20                 1600              50   1707670832               0.81875             0.260081               0.0367809  0.744836  0.892664             0.74375              0.8875                    0.5675
       Phi-4         SVAMP     20-30             20           30                 1600              50    513879938               0.82875              0.24866               0.0351659  0.758082  0.899418                0.76               0.895                   0.58125
       Phi-4         SVAMP     30-40             30           40                 1600              50    721280092               0.82625             0.245589               0.0347316  0.756454  0.896046             0.75625                0.89                  0.559375
       Phi-4         SVAMP     40-50             40           50                 1600              50    956714403                 0.835             0.255288               0.0361032  0.762448  0.907552              0.7625                 0.9                  0.561875
 Phi-4-Reas.          AQuA      0-10              0           10                  407              50   1194221023                0.8325             0.215562                0.030485  0.771238  0.893762             0.77125            0.886281                  0.734644
 Phi-4-Reas.          AQuA     10-20             10           20                  406              50    337458692                0.9125             0.158718               0.0224461  0.867393  0.957607             0.86625               0.955                   0.70197
 Phi-4-Reas.          AQuA     20-30             20           30                  407              50    551345836                  0.93              0.11409               0.0161348  0.897576  0.962424               0.895                0.96                  0.702703
 Phi-4-Reas.          AQuA     30-40             30           40                  406              50    542611152                0.9025             0.141263               0.0199777  0.862353  0.942647               0.865                0.94                  0.615764
 Phi-4-Reas.          AQuA     40-50             40           50                  406              50     22432952               0.87375             0.170107               0.0240568  0.825406  0.922094              0.8275             0.91875                    0.6133
 Phi-4-Reas. CommonsenseQA      0-10              0           10                 1954              50   1783713561               0.33375             0.365223               0.0516504  0.229955  0.437545             0.23375             0.43875                  0.671955
