benchmark,model_a,model_b,pass1_a,pass1_b,frs_a,frs_b,signed_pass1_gap,signed_frs_gap,abs_pass1_gap,abs_frs_gap
MATH500,DS-R1-1.5B,Gemma-7B,43.2,18.2,84.5,18.9,25.000000000000004,65.6,25.000000000000004,65.6
MATH500,DS-R1-1.5B,LLaMA-3.1-8B,43.2,35.6,84.5,60.6,7.600000000000001,23.9,7.600000000000001,23.9
MATH500,DS-R1-1.5B,Phi-4,43.2,60.8,84.5,74.4,-17.599999999999994,10.099999999999994,17.599999999999994,10.099999999999994
MATH500,DS-R1-1.5B,Phi-4-Reas.,43.2,74.6,84.5,80.0,-31.39999999999999,4.5,31.39999999999999,4.5
MATH500,DS-R1-1.5B,Qwen2.5-7B,43.2,60.6,84.5,75.6,-17.4,8.900000000000006,17.4,8.900000000000006
MATH500,DS-R1-1.5B,Qwen2.5-Math,43.2,63.6,84.5,77.5,-20.4,7.0,20.4,7.0
MATH500,DS-R1-1.5B,Qwen3-4B,43.2,49.8,84.5,63.5,-6.599999999999994,21.0,6.599999999999994,21.0
MATH500,DS-R1-7B,Gemma-7B,63.6,18.2,94.0,18.9,45.400000000000006,75.1,45.400000000000006,75.1
MATH500,DS-R1-7B,LLaMA-3.1-8B,63.6,35.6,94.0,60.6,28.0,33.4,28.0,33.4
MATH500,DS-R1-7B,Phi-4,63.6,60.8,94.0,74.4,2.8000000000000043,19.599999999999994,2.8000000000000043,19.599999999999994
MATH500,DS-R1-7B,Phi-4-Reas.,63.6,74.6,94.0,80.0,-10.999999999999993,14.0,10.999999999999993,14.0
MATH500,DS-R1-7B,Qwen2.5-7B,63.6,60.6,94.0,75.6,3.0,18.400000000000006,3.0,18.400000000000006
MATH500,DS-R1-7B,Qwen2.5-Math,63.6,63.6,94.0,77.5,0.0,16.5,0.0,16.5
MATH500,DS-R1-7B,Qwen3-4B,63.6,49.8,94.0,63.5,13.800000000000004,30.5,13.800000000000004,30.5
MATH500,Gemma-7B,LLaMA-3.1-8B,18.2,35.6,18.9,60.6,-17.400000000000002,-41.7,17.400000000000002,41.7
MATH500,Gemma-7B,Phi-4,18.2,60.8,18.9,74.4,-42.599999999999994,-55.50000000000001,42.599999999999994,55.50000000000001
MATH500,Gemma-7B,Phi-4-Reas.,18.2,74.6,18.9,80.0,-56.39999999999999,-61.1,56.39999999999999,61.1
MATH500,Gemma-7B,Qwen2.5-7B,18.2,60.6,18.9,75.6,-42.400000000000006,-56.699999999999996,42.400000000000006,56.699999999999996
MATH500,Gemma-7B,Qwen2.5-Math,18.2,63.6,18.9,77.5,-45.400000000000006,-58.6,45.400000000000006,58.6
MATH500,Gemma-7B,Qwen3-4B,18.2,49.8,18.9,63.5,-31.599999999999998,-44.6,31.599999999999998,44.6
MATH500,LLaMA-3.1-8B,Phi-4,35.6,60.8,60.6,74.4,-25.199999999999996,-13.800000000000004,25.199999999999996,13.800000000000004
MATH500,LLaMA-3.1-8B,Phi-4-Reas.,35.6,74.6,60.6,80.0,-38.99999999999999,-19.4,38.99999999999999,19.4
MATH500,LLaMA-3.1-8B,Qwen2.5-7B,35.6,60.6,60.6,75.6,-25.0,-14.999999999999993,25.0,14.999999999999993
MATH500,LLaMA-3.1-8B,Qwen2.5-Math,35.6,63.6,60.6,77.5,-28.0,-16.9,28.0,16.9
MATH500,LLaMA-3.1-8B,Qwen3-4B,35.6,49.8,60.6,63.5,-14.199999999999996,-2.8999999999999986,14.199999999999996,2.8999999999999986
MATH500,Phi-4,Phi-4-Reas.,60.8,74.6,74.4,80.0,-13.799999999999997,-5.599999999999994,13.799999999999997,5.599999999999994
MATH500,Phi-4,Qwen2.5-7B,60.8,60.6,74.4,75.6,0.19999999999999574,-1.1999999999999886,0.19999999999999574,1.1999999999999886
MATH500,Phi-4,Qwen2.5-Math,60.8,63.6,74.4,77.5,-2.8000000000000043,-3.0999999999999943,2.8000000000000043,3.0999999999999943
MATH500,Phi-4,Qwen3-4B,60.8,49.8,74.4,63.5,11.0,10.900000000000006,11.0,10.900000000000006
MATH500,Phi-4-Reas.,Qwen2.5-7B,74.6,60.6,80.0,75.6,13.999999999999993,4.400000000000006,13.999999999999993,4.400000000000006
MATH500,Phi-4-Reas.,Qwen2.5-Math,74.6,63.6,80.0,77.5,10.999999999999993,2.5,10.999999999999993,2.5
MATH500,Phi-4-Reas.,Qwen3-4B,74.6,49.8,80.0,63.5,24.799999999999997,16.5,24.799999999999997,16.5
MATH500,Qwen2.5-7B,Qwen2.5-Math,60.6,63.6,75.6,77.5,-3.0,-1.9000000000000057,3.0,1.9000000000000057
