model,benchmark,subset_dims,subset_label,subset_size,frs_pct,n_traces
Gemma-7B,SVAMP,utility|factuality,U+Fa,2,34.0,50
LLaMA-3.1-8B,AQuA,coherence,C,1,47.5,50
LLaMA-3.1-8B,AQuA,coherence|factuality,C+Fa,2,57.5,50
LLaMA-3.1-8B,AQuA,coherence|utility,C+U,2,47.25,50
LLaMA-3.1-8B,AQuA,coherence|utility|factuality,C+U+Fa,3,54.0,50
LLaMA-3.1-8B,AQuA,factuality,Fa,1,67.5,50
LLaMA-3.1-8B,AQuA,faithfulness,F,1,49.5,50
LLaMA-3.1-8B,AQuA,faithfulness|coherence,F+C,2,48.5,50
LLaMA-3.1-8B,AQuA,faithfulness|coherence|factuality,F+C+Fa,3,54.83333333333333,50
LLaMA-3.1-8B,AQuA,faithfulness|coherence|utility,F+C+U,3,48.0,50
LLaMA-3.1-8B,AQuA,faithfulness|coherence|utility|factuality,full (F+C+U+Fa),4,52.875,50
LLaMA-3.1-8B,AQuA,faithfulness|factuality,F+Fa,2,58.5,50
LLaMA-3.1-8B,AQuA,faithfulness|utility,F+U,2,48.25,50
LLaMA-3.1-8B,AQuA,faithfulness|utility|factuality,F+U+Fa,3,54.66666666666667,50
LLaMA-3.1-8B,AQuA,utility,U,1,47.0,50
LLaMA-3.1-8B,AQuA,utility|factuality,U+Fa,2,57.25,50
LLaMA-3.1-8B,CSQA,coherence,C,1,39.5,50
LLaMA-3.1-8B,CSQA,coherence|factuality,C+Fa,2,61.25,50
LLaMA-3.1-8B,CSQA,coherence|utility,C+U,2,41.5,50
LLaMA-3.1-8B,CSQA,coherence|utility|factuality,C+U+Fa,3,55.33333333333333,50
LLaMA-3.1-8B,CSQA,factuality,Fa,1,83.0,50
LLaMA-3.1-8B,CSQA,faithfulness,F,1,54.0,50
LLaMA-3.1-8B,CSQA,faithfulness|coherence,F+C,2,46.75,50
LLaMA-3.1-8B,CSQA,faithfulness|coherence|factuality,F+C+Fa,3,58.83333333333333,50
LLaMA-3.1-8B,CSQA,faithfulness|coherence|utility,F+C+U,3,45.66666666666667,50
LLaMA-3.1-8B,CSQA,faithfulness|coherence|utility|factuality,full (F+C+U+Fa),4,55.0,50
