model,dataset,topk_pct,topk_label,judged_samples_used,mean_reasoning_score,ci_lower,ci_upper,cumulative_accuracy_population
Qwen2.5-7B,GPQA,30,top30,150,0.5441666666666667,0.5154166666666666,0.57209375,0.36355183635518357
Qwen2.5-7B,GPQA,40,top40,200,0.5403125,0.5162421875,0.5640625,0.3584379358437935
Qwen2.5-7B,GPQA,50,top50,250,0.53225,0.50974375,0.555,0.35267857142857134
Qwen2.5-7B,GSM8K,10,top10,50,0.65625,0.61375,0.69875,0.6262434864992894
Qwen2.5-7B,GSM8K,20,top20,100,0.626875,0.59625,0.655,0.6147832267235253
Qwen2.5-7B,GSM8K,30,top30,150,0.6241666666666666,0.5991666666666666,0.6483333333333333,0.6124447252053064
Qwen2.5-7B,GSM8K,40,top40,200,0.61125,0.590625,0.6315625,0.6088604596067283
Qwen2.5-7B,GSM8K,50,top50,250,0.63975,0.616,0.664,0.6460386656557998
Qwen2.5-7B,MATH500,10,top10,50,0.75625,0.70621875,0.8075,0.535
Qwen2.5-7B,MATH500,20,top20,100,0.72125,0.681875,0.759390625,0.51
Qwen2.5-7B,MATH500,30,top30,150,0.7154166666666667,0.68375,0.7479270833333332,0.49541666666666667
Qwen2.5-7B,MATH500,40,top40,200,0.700625,0.670625,0.7309375,0.4803125
Qwen2.5-7B,MATH500,50,top50,250,0.678,0.651,0.70475,0.46175
Qwen2.5-7B,SVAMP,10,top10,50,0.64875,0.61125,0.685,0.6225
Qwen2.5-7B,SVAMP,20,top20,100,0.62125,0.594359375,0.65125,0.6171875
Qwen2.5-7B,SVAMP,30,top30,150,0.605,0.5795833333333333,0.6295833333333334,0.6229166666666667
Qwen2.5-7B,SVAMP,40,top40,200,0.5809375,0.5575,0.6040703124999999,0.6225
Qwen2.5-7B,SVAMP,50,top50,250,0.6415,0.61375,0.66850625,0.6695
Qwen2.5-Math,AQuA,10,top10,50,0.74875,0.66621875,0.8275,0.47911547911547914
Qwen2.5-Math,AQuA,20,top20,100,0.783125,0.734359375,0.829375,0.48954489544895446
Qwen2.5-Math,AQuA,30,top30,150,0.795,0.75415625,0.83625,0.5040983606557377
Qwen2.5-Math,AQuA,40,top40,200,0.788125,0.7546796874999999,0.82125,0.5141451414514145
Qwen2.5-Math,AQuA,50,top50,250,0.78425,0.75375,0.8145,0.5191929133858267
Qwen2.5-Math,CommonsenseQA,10,top10,50,0.70625,0.6424687499999999,0.7725,0.5071647901740021
Qwen2.5-Math,CommonsenseQA,20,top20,100,0.684375,0.63875,0.73,0.5038382804503583
Qwen2.5-Math,CommonsenseQA,30,top30,150,0.7154166666666667,0.6783333333333333,0.7545833333333334,0.5019621225046921
Qwen2.5-Math,CommonsenseQA,40,top40,200,0.7203125,0.6878125,0.7534375,0.5053103007037748
Qwen2.5-Math,CommonsenseQA,50,top50,250,0.72875,0.69999375,0.757,0.5051187551187551
Qwen2.5-Math,GPQA,10,top10,50,0.54625,0.48871875,0.6062812499999998,0.39191073919107394
Qwen2.5-Math,GPQA,20,top20,100,0.555,0.51625,0.595625,0.3702928870292887
Qwen2.5-Math,GPQA,30,top30,150,0.5395833333333333,0.5083229166666666,0.5720833333333334,0.3565783356578336
Qwen2.5-Math,GPQA,40,top40,200,0.5409375,0.515,0.5675078124999999,0.34658298465829845
Qwen2.5-Math,GPQA,50,top50,250,0.53625,0.51275,0.55875,0.33621651785714285
Qwen2.5-Math,GSM8K,10,top10,50,0.9075,0.85625,0.95375,0.5542396968261487
Qwen2.5-Math,GSM8K,20,top20,100,0.914375,0.883125,0.944390625,0.6138355839848377
Qwen2.5-Math,GSM8K,30,top30,150,0.8970833333333333,0.86665625,0.9254166666666668,0.6438723941882502
Qwen2.5-Math,GSM8K,40,top40,200,0.8934375,0.8690546874999999,0.91875,0.6632314617389244
Qwen2.5-Math,GSM8K,50,top50,250,0.89,0.865,0.91425,0.6787338893100834
Qwen2.5-Math,MATH500,10,top10,50,0.775,0.6937187499999999,0.8525,0.61
Qwen2.5-Math,MATH500,20,top20,100,0.81625,0.764375,0.863765625,0.625625
Qwen2.5-Math,MATH500,30,top30,150,0.8425,0.8020625,0.87959375,0.63375
Qwen2.5-Math,MATH500,40,top40,200,0.834375,0.8009296874999999,0.8668906249999999,0.6453125
Qwen2.5-Math,MATH500,50,top50,250,0.83125,0.80075,0.8585,0.653
Qwen2.5-Math,SVAMP,10,top10,50,0.745,0.655,0.82625,0.4475
Qwen2.5-Math,SVAMP,20,top20,100,0.795,0.736875,0.849375,0.5740625
Qwen2.5-Math,SVAMP,30,top30,150,0.8179166666666666,0.7733333333333333,0.8587604166666666,0.63375
Qwen2.5-Math,SVAMP,40,top40,200,0.851875,0.816875,0.88625,0.6771875
Qwen2.5-Math,SVAMP,50,top50,250,0.84525,0.8109937500000001,0.87575625,0.704375
Qwen3-4B,AQuA,10,top10,50,0.785,0.71871875,0.84625,0.5331695331695332
Qwen3-4B,AQuA,20,top20,100,0.75625,0.714375,0.79875,0.5338253382533825
Qwen3-4B,AQuA,30,top30,150,0.7383333333333333,0.7020833333333333,0.7729166666666667,0.5172131147540984
Qwen3-4B,AQuA,40,top40,200,0.741875,0.7115625,0.77125,0.5166051660516605
Qwen3-4B,AQuA,50,top50,250,0.7285,0.701,0.754,0.515748031496063
Qwen3-4B,CommonsenseQA,10,top10,50,0.75,0.70121875,0.79625,0.8449334698055271
Qwen3-4B,CommonsenseQA,20,top20,100,0.75125,0.7125,0.790625,0.7832650972364381
Qwen3-4B,CommonsenseQA,30,top30,150,0.7529166666666667,0.7191666666666666,0.785,0.7495307967923562
Qwen3-4B,CommonsenseQA,40,top40,200,0.7471875,0.7196875,0.7746953124999999,0.7283429302623161
Qwen3-4B,CommonsenseQA,50,top50,250,0.73975,0.71549375,0.76525,0.7077190827190827
Qwen3-4B,GPQA,10,top10,50,0.5875,0.54625,0.6275312499999998,0.6290097629009763
Qwen3-4B,GPQA,20,top20,100,0.563125,0.530625,0.594375,0.5822873082287309
Qwen3-4B,GPQA,30,top30,150,0.555,0.5283229166666666,0.5829166666666666,0.5774058577405857
Qwen3-4B,GPQA,40,top40,200,0.5478125,0.5253125,0.5690703125,0.5728730822873083
Qwen3-4B,GPQA,50,top50,250,0.54475,0.5255,0.5645,0.5672433035714286
Qwen3-4B,GSM8K,10,top10,50,0.90875,0.8625,0.95125,0.9213642823306488
Qwen3-4B,GSM8K,20,top20,100,0.919375,0.886859375,0.95,0.9111584932480455
Qwen3-4B,GSM8K,30,top30,150,0.89,0.8570833333333333,0.9175,0.8861339229311433
Qwen3-4B,GSM8K,40,top40,200,0.8725,0.84625,0.8978125,0.8586827765932243
Qwen3-4B,GSM8K,50,top50,250,0.86225,0.8375,0.88525625,0.834059893858984
Qwen3-4B,MATH500,10,top10,50,0.635,0.58125,0.6925,0.27
Qwen3-4B,MATH500,20,top20,100,0.6675,0.626875,0.708765625,0.310625
Qwen3-4B,MATH500,30,top30,150,0.6733333333333333,0.6374895833333333,0.7066666666666667,0.34833333333333333
Qwen3-4B,MATH500,40,top40,200,0.69375,0.66375,0.7240625,0.36625
Qwen3-4B,MATH500,50,top50,250,0.69575,0.66899375,0.72425,0.39025
Qwen3-4B,SVAMP,10,top10,50,0.91,0.87,0.94875,0.88
Qwen3-4B,SVAMP,20,top20,100,0.915,0.885,0.94125,0.879375
Qwen3-4B,SVAMP,30,top30,150,0.8954166666666666,0.86625,0.9229166666666668,0.86875
Qwen3-4B,SVAMP,40,top40,200,0.8975,0.8728125,0.9184375,0.85640625
Qwen3-4B,SVAMP,50,top50,250,0.87,0.84475,0.8935,0.83925
