model,benchmark,k,mean_recall,std_recall,mean_jaccard,std_jaccard,mean_precision,std_precision,mean_snr_k8,std_snr_k8,snr_k16,regime_flip_rate,mean_scored_overlap,std_scored_overlap,mean_partial_frs,frs_k16
Qwen2.5-7B,MATH500,4,0.9875,0.021005951537599994,0.24613972492465958,0.006457589822771949,0.246875,0.0052514878843999985,-0.2967886397786739,0.03372598718042476,-0.30780533422187983,0.0,12.8,4.261455150532504,75.76421483860344,75.625
Qwen2.5-7B,SVAMP,8,0.98275,0.017982630508354455,0.4872900553793896,0.013116929634378178,0.491375,0.008991315254177228,-0.9741070188665631,0.017198165699773844,-0.9815109794406022,0.0,25.8,1.9390719429665315,64.72856783413849,64.875
Qwen2.5-7B,SVAMP,4,0.9817499999999999,0.016433578429544796,0.24434356869435647,0.005083820353347955,0.24543749999999998,0.004108394607386199,-0.9809301781088191,0.061414679325907724,-0.9815109794406022,0.0,11.2,2.8213471959331766,65.2293552036199,64.875
Qwen2.5-Math,AQuA,8,0.971078431372549,0.0357843137254902,0.48022476818919324,0.025320543504535768,0.4867321867321867,0.01793611793611794,-0.06737637820232825,0.024491942590699506,-0.06750825971685454,0.0,23.9,2.6627053911388696,74.07092921010255,74.875
Qwen2.5-Math,AQuA,4,0.9852941176470589,0.019730011566174634,0.24605214822335295,0.006113210156250496,0.24692874692874694,0.004944622063267355,-0.03509624098053794,0.057416619398110984,-0.06750825971685454,0.4,10.8,2.7856776554368237,76.87371482683983,74.875
Qwen2.5-Math,CommonsenseQA,8,0.9914022517911976,0.011073185945792026,0.4936244448085551,0.008190697640234022,0.4957011258955988,0.005536592972896013,0.10134248066639373,0.010072465914521126,0.0975960813492387,0.0,24.7,2.9,71.10943097020166,70.625
Qwen2.5-Math,CommonsenseQA,4,0.9887525562372188,0.01589971330668726,0.2467661745369186,0.00492852581880058,0.24744114636642783,0.0039789968305885565,0.1091103036553798,0.02154583352761552,0.0975960813492387,0.0,13.0,3.4641016151377544,72.33196924603173,70.625
Qwen2.5-Math,GPQA,8,0.9930362116991643,0.01586766057785639,0.49557499237083824,0.011622572140354403,0.49721059972105996,0.0079448956031387,0.19983507686339635,0.020697650554049027,0.19647760183027013,0.0,24.5,4.129164564412516,54.10684466280759,54.625
Qwen2.5-Math,GPQA,4,0.9811111111111112,0.020964402515681355,0.2451755971793177,0.006492594312004778,0.24630404463040448,0.005263029920254726,0.20661270561756506,0.03894685893904264,0.19647760183027013,0.0,11.6,0.9165151389911681,54.1072261072261,54.625
Qwen2.5-Math,GSM8K,8,0.9954545454545455,0.007429941381035248,0.4968538410526008,0.005525984611255803,0.4979630506868782,0.003716730506098143,-0.1961768666159169,0.01446548467525439,-0.19502809495761625,0.0,24.3,2.238302928559939,89.03185668498168,90.75
Qwen2.5-Math,GSM8K,4,0.9910984848484847,0.010512643247255996,0.24734987372703246,0.003265887656302541,0.24789199431549025,0.0026294057956187345,-0.1977370100960366,0.025131440620294637,-0.19502809495761625,0.0,11.3,1.7349351572897471,89.87343385780886,90.75
Qwen2.5-Math,MATH500,8,0.9869999999999999,0.011979148550710937,0.49036556961019706,0.008839815369404773,0.49349999999999994,0.005989574275355469,0.151716501393853,0.013950621452826184,0.15869767855789058,0.0,22.6,3.006659275674582,76.5408169728822,77.5
