model,benchmark,resample_id,k,recall,precision,jaccard,snr_k16,snr_k8,regime_flip,num_scored_in_overlap,partial_frs_estimate
DS-R1-7B,CommonsenseQA,7,4,1.0,0.2502558853633572,0.2502558853633572,0.1833365751683797,0.16593225089019653,False,13,77.88461538461539
DS-R1-7B,CommonsenseQA,8,4,0.9979550102249489,0.24974411463664278,0.249616368286445,0.1833365751683797,0.16355089340267046,False,11,79.54545454545455
DS-R1-7B,CommonsenseQA,9,4,1.0,0.2502558853633572,0.2502558853633572,0.1833365751683797,0.18226811485733688,False,5,86.25
DS-R1-7B,GPQA,0,8,1.0,0.500697350069735,0.500697350069735,-0.242966230971739,-0.2304550889943462,False,26,65.14423076923077
DS-R1-7B,GPQA,1,8,0.9805013927576601,0.4909344490934449,0.4861878453038674,-0.242966230971739,-0.24224705935482127,False,26,60.81730769230769
DS-R1-7B,GPQA,2,8,1.0,0.500697350069735,0.500697350069735,-0.242966230971739,-0.23257375800820604,False,21,61.30952380952381
DS-R1-7B,GPQA,3,8,0.9526462395543176,0.4769874476987448,0.4659400544959128,-0.242966230971739,-0.2607250514042315,False,24,63.020833333333336
DS-R1-7B,GPQA,4,8,0.9916434540389972,0.496513249651325,0.49444444444444446,-0.242966230971739,-0.22978408914198978,False,18,61.111111111111114
DS-R1-7B,GPQA,5,8,0.9888579387186629,0.49511854951185497,0.492371705963939,-0.242966230971739,-0.24768460912700427,False,24,67.1875
DS-R1-7B,GPQA,6,8,0.9860724233983287,0.49372384937238495,0.4903047091412742,-0.242966230971739,-0.2820575097529927,False,26,68.26923076923077
DS-R1-7B,GPQA,7,8,1.0,0.500697350069735,0.500697350069735,-0.242966230971739,-0.2427529025024971,False,24,59.635416666666664
DS-R1-7B,GPQA,8,8,0.9944289693593314,0.497907949790795,0.4965229485396384,-0.242966230971739,-0.23915415802961776,False,26,63.46153846153846
DS-R1-7B,GPQA,9,8,1.0,0.500697350069735,0.500697350069735,-0.242966230971739,-0.22420239334390965,False,22,63.92045454545455
DS-R1-7B,GPQA,0,4,0.9555555555555556,0.2398884239888424,0.23724137931034484,-0.242966230971739,-0.262427030037551,False,14,58.035714285714285
